_checksum,_id,name,official_name,citizen_names,start_date,end_date
1620d8136a92191b0713b0a7adf0eceb7933affd83d84e213baebf1bb10ccbb17e7d,WAW,Warwick,Warwick District Council,,,
1620496cd7b1eda18b719b4c619d3ea586e86705ae3485ad5c6a82f4e25196142ca7,WBK,West Berkshire,West Berkshire Council,,1905-06-20,
16208d975c32946debee2671bdbe335c166ec7494ff7fd4899e46de5e5302221850a,WDE,West Devon,West Devon Borough Council,,,
162023545cce3c548e9e071b135faca6fc331767838a1588534a50cfa869947bfd42,WDO,West Dorset,West Dorset District Council,,,2019-03-31
1620437b2857f0d1a3601dd84b2d7ffdf12825cfcbe7c8d2ddc9f43d825c9111eaa8,WEA,Wealden,Wealden District Council,,,
1620443fb5fa1599996f03bef5a8306caacd0445cc8709590c4d1128e94354ccbae9,WECA,West of England Combined Authority,West of England Combined Authority,,2014-04-01,
16200dd6f8867709da524c70d94298f0261d65c8343278db1ed1827559f105fcc998,WEL,Wellingborough,Wellingborough Borough Council,,,
162086c9f80e4ee2367168420baf8ed175d023380dd016c52d204c5210e57408205a,WEW,Welwyn Hatfield,Welwyn Hatfield Borough Council,,,
162042ebf42cf588d6f411f9eddfea894927fc423adc75ae0d78391c3d44ee42f548,WEY,Weymouth and Portland,Weymouth and Portland Borough Council,,,2019-03-31
1620b9e02fe42ca478befce56d0a1e7716a12d39d3771cce7d6612ff5ab75925a6c9,WFT,Waltham Forest,London Borough of Waltham Forest,,,
1620f8a3027ef6a9c03ebb6f8745c5bdbd3108e80f51a4a4579af251a58f89260ee4,WGN,Wigan,Wigan Metropolitan Borough Council,,1974-04-01,
162069f72ce4aca05edbd3768c4e9729bd67acf7d7bd3e43364c74985d072fd8b0d8,WIL,Wiltshire,Wiltshire Council,,2009-04-01,
16209fc745805ce69a1015146c506332b009362415a6b9a1f7436fd222dac88cbcdc,WIN,Winchester,Winchester City Council,,,
1620143033a37293067c8db71ea75e9bfd40a9f993eb9e3308854127166d3230597e,WKF,Wakefield,Wakefield Metropolitan District Council,,1974-04-01,
16204afcbdd1cf021011406d83240f65dfae9e6b33222dbeb01b042fb4be5506fd45,WLA,West Lancashire,West Lancashire Borough Council,,,
1620d005952425d6ea32780f223f4d2171ec7c8cc777e6272e7ee64f5ba9037b8a04,WLI,West Lindsey,West Lindsey District Council,,,
1620b56195386a9dd10ca50bb04478b0646f7d83e9cf2833294001a04c982e31de0f,WLL,Walsall,Walsall Metropolitan Borough Council,,1974-04-01,
16205528a7be07c1ea726fa8e704a051edea30bc65f1be1c7d0578eeb7f704355292,WLV,Wolverhampton,City of Wolverhampton Council,,1974-04-01,
162019e3cf8563ac18fad0e0d1102879aa21737107ea5dc0afa1089110de722a995a,WMCA,West Midlands Combined Authority,West Midlands Combined Authority,,2014-04-01,
1620849802e4da5c57d088cf8aa40f6c8a334a6719966ad8c239b27a8c8eee4777e0,WND,Wandsworth,London Borough of Wandsworth,,,
1620dc96c702b932e3632eb974cfab935ae203782c7122954d274d75dcf404dd17b0,WNM,Windsor and Maidenhead,Royal Borough of Windsor and Maidenhead,,1905-06-20,
16207b770e233bb92a79e374e211d984d0ec23d7a9695845cdf841ecbff7ee028ba8,WOC,Worcester,Worcester City Council,,,
